,Abnormal gait (walking),Abnormally round face,Agitation,Anxiety,Apathy,Bad breath,Bad taste in mouth,Bald spots (hair),Belching,Black (tar) colored stools,Blackouts (memory time loss),Blank stare,Bleeding,Bleeding from nipple,Bleeding gums,Bleeding in eye,Blindness,Blood in toilet,Blood or red colored urine,Bloody or red colored stools,Blurred vision,Body aches or pains,Broken bone (single fracture),Broken bones (multiple fractures),Bruising or discoloration,Change in stools,Change in vision,Chills,Choking on food,Clicking or popping sound from jaw,Cloudy vision,Coarse hair,Coma,Confusion,Constipation,Cough,Craving alcohol,Curved spine,Damaged teeth enamel,Decreased appetite,Decreased sweating,Delusions,Depressed mood,Developmental delays,Diarrhea,Difficulty breathing through nose,Difficulty climbing stairs,Difficulty concentrating,Difficulty finding words,Difficulty getting up from a chair,Difficulty moving arm,Difficulty moving joint,Difficulty opening mouth,Difficulty relaxing muscles after contracting them,Difficulty sleeping,Difficulty starting urine stream,Difficulty staying asleep,Difficulty staying awake during day,Difficulty stopping urine stream,Difficulty swallowing,Difficulty talking,Difficulty urinating,Difficulty walking,Discharge from nipple,Disorientation,Distended stomach,Dizziness,Double vision (without one eye covered),Drainage or pus,Drinking excessive fluids,Drooling,Drooping eyelid,Drooping of one side of face,Drowsiness,Dry skin,Ear ache,Easy bleeding,Easy bruising,Enlarged (dilated) pupils,Episodes of not breathing during sleep,Erectile dysfunction,Excessive body hair growth,Excessive mouth watering,Excessive sweating,Eyes do not track together,Fainting,Fatigue,Feeling faint,Feeling of not being able to get enough air,Fever,Food getting stuck (swallowing),Foul smelling stools,Frequent infections,Frequent nighttime urination,Frequent urge to have bowel movement,Frequent urge to urinate,Frequent urination,Giddiness,Grinding teeth,Guarding or favoring joint,Hair loss,Hallucinations,Headache,Headache (worst ever),Hearing loss,Heartburn,Hives,Hoarse voice,"Hot, dry skin",Hunched or stooped posture,Hyperactive behavior,Impaired judgement,Increased sensitivity to cold,Increased talkativeness,Increased thirst,Involuntary head turning or twisting,Irregular heartbeat,Itching or burning,Jaw locking,Jerking eye movements,Joint aches,Joint instability,Joint locking or catching,Joint pain,Labored breathing,Lightheadedness,Loss of balance,Loss of consciousness,Loss of coordination,Loss of height,Loss of outside 1/3 of eyebrow (unintentional),Loss of side vision,Low blood pressure,Lump or bulge,Memory problems,Metallic taste in mouth,Mood swings,Morning joint stiffness,Mouth sores,Multiple bruises of different ages,Muscle cramps or spasms (painful),Muscle stiffness (rigidity),Muscle twitching (painless),Muscle weakness,Nausea or vomiting,Nervousness,New onset asthma,Night sweats,Nighttime wheezing,Noisy breathing,Nosebleed,Numbness or tingling,Overweight,Pain or discomfort,Pain with urination,Painful ejaculation,Pale skin,Palpitations (fluttering in chest),Paranoid behavior,Partial vision loss,Personality changes,Pounding heart (pulse),Pressure or heaviness,Puffy eyelids,Rapid breathing,Rapid heart rate (pulse),Rapid speech,Recent (short-term) memory loss,Red (bloodshot) eyes,Regurgitation of food or liquid,Restless or irritability,Seizures (uncontrollable jerking of limbs),Sensitive to light,Shadow over part of vision,Shaking,Shaking hands or tremor,Short arms and legs,Short stature,"Short, wide neck",Shortening of limb,Shortness of breath,Shuffling gait (feet),Single palm crease,Skin blisters,Skin bumps,Skin open sore,Skin rash,Skin redness,Skin thickening,Slow heart rate (pulse),Slow or weak urine stream,Slow thinking,Slurred speech,Small (constricted) pupils,Snoring,Sore throat,Sore tongue,Soreness or burning inside of mouth,Stiff neck,Stiffness or decreased movement,Stomach cramps,Stool leaking (incontinence),Sudden numbness or weakness on one side of body,Sunken eyes,Swelling,Swollen gums,Taste of acid in mouth,Teeth do not fit like they used to,Tenderness to touch,Throat tightness,Tightness,Tires quickly,Trembling,Trouble distinguishing color shades,Twisting or rotation of limb,Unable to bear weight,Unable to blink or close eyelid,Unable to grip (hands),Unable to move arm,Unable to move joint,Unable to move leg,Unable to open mouth (jaw),Unequal pupils (size),Unusual facial expression,Unusual taste in mouth,Unusually short fourth fingers,Upset stomach,Urine leaking (incontinence),Visible deformity,Vision fading of colors,Warm to touch,Weakness,Weakness (generalized),Weight gain,Weight loss (intentional),Weight loss (unintentional),Welts,Wheezing,Yellow eyes,Yellow skin
10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
